open,low,high,close,change_amount,change_percent,gregorian_date,jalali_date,date
1000000.0,1000000.0,1000000.0,1000000.0,30000.0,3.0,2013/07/22,1392/04/31,2013-07-22
1030000.0,1030000.0,1030000.0,1030000.0,30000.0,3.0,2013/07/23,1392/05/01,2013-07-23
1028000.0,1013000.0,1033000.0,1025000.0,5000.0,0.49,2013/07/24,1392/05/02,2013-07-24
1040000.0,1040000.0,1040000.0,1040000.0,15000.0,1.46,2013/07/27,1392/05/05,2013-07-27
1030000.0,1011000.0,1041000.0,1030000.0,,,2013/07/28,1392/05/06,2013-07-28
1030000.0,1020000.0,1063000.0,1046000.0,16000.0,1.55,2013/07/31,1392/05/09,2013-07-31
1040000.0,1040000.0,1040000.0,1040000.0,6000.0,0.58,2013/08/03,1392/05/12,2013-08-03
1030000.0,1030000.0,1030000.0,1030000.0,10000.0,0.97,2013/08/04,1392/05/13,2013-08-04
1020000.0,1020000.0,1020000.0,1020000.0,10000.0,0.98,2013/08/05,1392/05/14,2013-08-05
1020000.0,1020000.0,1020000.0,1020000.0,,,2013/08/06,1392/05/15,2013-08-06
1030000.0,1017000.0,1053000.0,1033000.0,3000.0,0.29,2013/08/07,1392/05/16,2013-08-07
1050000.0,1050000.0,1050000.0,1050000.0,17000.0,1.65,2013/08/11,1392/05/20,2013-08-11
1040000.0,1040000.0,1040000.0,1040000.0,10000.0,0.96,2013/08/12,1392/05/21,2013-08-12
1040000.0,1040000.0,1040000.0,1040000.0,,,2013/08/13,1392/05/22,2013-08-13
1052000.0,1032000.0,1063000.0,1053000.0,13000.0,1.25,2013/08/14,1392/05/23,2013-08-14
1060000.0,1060000.0,1060000.0,1060000.0,7000.0,0.66,2013/08/17,1392/05/26,2013-08-17
1060000.0,1060000.0,1060000.0,1060000.0,,,2013/08/18,1392/05/27,2013-08-18
1060000.0,1040000.0,1060000.0,1040000.0,20000.0,1.92,2013/08/19,1392/05/28,2013-08-19
1040000.0,1030000.0,1040000.0,1030000.0,10000.0,0.97,2013/08/20,1392/05/29,2013-08-20
1040000.0,1018000.0,1057000.0,1042000.0,2000.0,0.19,2013/08/21,1392/05/30,2013-08-21
1050000.0,1050000.0,1060000.0,1060000.0,18000.0,1.73,2013/08/24,1392/06/02,2013-08-24
1060000.0,1050000.0,1060000.0,1060000.0,,,2013/08/25,1392/06/03,2013-08-25
1060000.0,1060000.0,1080000.0,1080000.0,20000.0,1.89,2013/08/26,1392/06/04,2013-08-26
1130000.0,1120000.0,1150000.0,1140000.0,60000.0,5.56,2013/08/27,1392/06/05,2013-08-27
