model,horizon,label,q10_toman,q50_toman,q90_toman,current_toman,q10_return_pct,q50_return_pct,q90_return_pct
Moirai-2.0,63,3M,22306851.56269324,29157727.04972494,39106084.8360833,23878100.0,-6.580290882887496,22.11075022604369,63.77385485479707
Moirai-2.0,126,6M,24252822.955327667,32145462.40251728,45853523.43466751,23878100.0,1.5693164670876891,34.62320034892761,92.03170869821096
Moirai-2.0,252,12M,27093212.07304245,35809182.20958352,52433930.50119378,23878100.0,13.4646897074828,49.96663138852555,119.59004485781443
TimesFM-3,63,3M,25884644.16413715,31291222.670078818,37947404.0377219,23878100.0,8.403282355535623,31.0456973966891,58.921371623880894
TimesFM-3,126,6M,31057899.749944016,40137134.052832246,50301300.4517585,23878100.0,30.068555496224647,68.09182494768112,110.65872264442524
TimesFM-3,252,12M,42030714.605394766,51884772.48006,68026119.3837167,23878100.0,76.02202271284048,117.29020516732906,184.88916364248703
XGBoost-Quantile,63,3M,22156747.916652918,26830151.607140552,33451806.72074898,23878100.0,-7.208915631256618,12.36300881200998,40.09408923134161
XGBoost-Quantile,126,6M,23221803.496853404,29032684.556339134,41201339.22241235,23878100.0,-2.74852899998993,21.587080028725623,72.54865011207905
XGBoost-Quantile,252,12M,24289168.612536777,36329802.58079048,57797330.59398398,23878100.0,1.7215298224598108,52.146957173269584,142.0516313860147
Chronos-2,63,3M,21553757.35899469,30225526.923975237,40247679.04663133,23878100.0,-9.734202641773471,26.582629790373737,68.55478051700649
Chronos-2,126,6M,18528936.58458972,37069908.85262192,55136639.244823776,23878100.0,-22.401964207412984,55.24647628003032,130.90882124132062
Chronos-2,252,12M,11401985.85160289,48122044.99784984,89584406.9743429,23878100.0,-52.24919130247847,101.53213613248056,275.1739333294646
