model,horizon,label,n,mean_pinball,median_mape_pct,coverage80_pct,direction_accuracy_pct,rank_pinball,naive_mape_pct,mape_vs_naive_delta_pctpt
Chronos-2,63,3M,11,0.0498950305133538,15.65046195527403,72.72727272727273,63.63636363636363,1.0,17.47730782258074,-1.8268458673067105
XGBoost-Quantile,63,3M,11,0.05801611208000037,15.632272346809337,63.63636363636363,81.81818181818183,2.0,17.47730782258074,-1.8450354757714038
TimesFM-3,63,3M,11,0.06281224550210542,17.320786263766255,72.72727272727273,72.72727272727273,3.0,17.47730782258074,-0.15652155881448593
Moirai-2.0,63,3M,11,0.06843501891002833,17.926122023192946,54.54545454545454,54.54545454545454,4.0,17.47730782258074,0.4488142006122047
XGBoost-Quantile,126,6M,11,0.0422984804915909,12.585883927284572,81.81818181818183,90.9090909090909,1.0,16.94150379705424,-4.355619869769667
Moirai-2.0,126,6M,11,0.049489037711176326,15.011827943218826,63.63636363636363,63.63636363636363,2.0,16.94150379705424,-1.9296758538354126
TimesFM-3,126,6M,11,0.05291868620288272,16.741558580415088,81.81818181818183,81.81818181818183,3.0,16.94150379705424,-0.19994521663915066
Chronos-2,126,6M,11,0.053752260341644285,14.518498243774427,90.9090909090909,72.72727272727273,4.0,16.94150379705424,-2.423005553279811
XGBoost-Quantile,252,12M,11,0.10717658617538484,28.383487239855448,81.81818181818183,90.9090909090909,1.0,35.94758682408718,-7.564099584231734
TimesFM-3,252,12M,11,0.11536591583685073,33.49616220619416,63.63636363636363,81.81818181818183,2.0,35.94758682408718,-2.451424617893025
Chronos-2,252,12M,11,0.1337457768666577,31.95468061275105,81.81818181818183,81.81818181818183,3.0,35.94758682408718,-3.9929062113361304
Moirai-2.0,252,12M,11,0.1856040044835397,32.30255175346872,27.27272727272727,72.72727272727273,4.0,35.94758682408718,-3.645035070618462
