model,origin_index,origin_date,horizon,label,current_price,actual_price,actual_log,q10_log,q50_log,q90_log,q10_price,q50_price,q90_price
Moirai-2.0,735,2016-06-29,63,3M,111791.6000000001,113126.00000000007,11.636257520742165,11.529296875,11.62574577331543,11.71727466583252,101650.6155885215,111943.07625086547,122672.64526056874
Moirai-2.0,735,2016-06-29,126,6M,111791.6000000001,113333.00000000007,11.63808566674344,11.541386604309082,11.629241943359377,11.705759048461914,102887.00274881374,112335.13323026498,121268.09665937594
Moirai-2.0,735,2016-06-29,252,12M,111791.6000000001,113782.0000000001,11.642039615931836,11.586044311523438,11.631041526794434,11.678040504455566,107585.83913785782,112537.47168305914,117952.8803293171
Moirai-2.0,987,2017-07-16,63,3M,113782.0000000001,123281.99999999996,11.72222969309407,11.586442947387695,11.64344310760498,11.697680473327637,107628.735261223,113941.80420525784,120292.36977718332
Moirai-2.0,987,2017-07-16,126,6M,113782.0000000001,140203.99999999994,11.850853783846103,11.586384773254396,11.64383602142334,11.700568199157717,107622.47423494756,113986.58231101108,120640.24320034316
Moirai-2.0,987,2017-07-16,252,12M,113782.0000000001,237420.0000000002,12.377586003607526,11.602910041809082,11.644693374633787,11.685802459716797,109415.74082090476,114084.35097845524,118871.98773010571
Moirai-2.0,1239,2018-07-05,63,3M,237420.0000000002,452270.00000000006,13.022034625607525,11.992819786071776,12.276801109313965,12.596259117126465,161590.362625412,214657.94985190217,295451.2469058199
Moirai-2.0,1239,2018-07-05,126,6M,237420.0000000002,303082.00000000023,12.621758674941317,11.989333152770996,12.25759983062744,12.570770263671877,161027.937341125,210575.56169774357,288015.69773928734
Moirai-2.0,1239,2018-07-05,252,12M,237420.0000000002,429900.0,12.971307902484371,12.046252250671388,12.284049034118652,12.378704071044922,170459.37042336306,216219.42642788883,237685.6000226868
Moirai-2.0,1491,2019-07-07,63,3M,429900.0,405199.9999999998,12.912136051356663,12.80258560180664,13.062366485595703,13.41120433807373,363155.2115203649,470883.7303865989,667439.706658699
Moirai-2.0,1491,2019-07-07,126,6M,429900.0,495899.9999999998,13.114129572477225,12.822951316833496,13.08885669708252,13.444244384765623,370626.9524944716,483524.2255074834,689860.294797663
Moirai-2.0,1491,2019-07-07,252,12M,429900.0,865500.0000000002,13.6710626535984,12.915851593017578,13.07008457183838,13.315686225891112,406708.33789189183,474532.1127821709,606637.2170552693
Moirai-2.0,1743,2020-06-30,63,3M,865500.0000000002,1215299.9999999998,14.010501517858891,13.449695587158203,13.763577461242676,14.089414596557615,693631.1313460958,949392.3821810312,1315088.59843169
Moirai-2.0,1743,2020-06-30,126,6M,865500.0000000002,1144200.0000000005,13.950216260816566,13.462679862976074,13.786040306091309,14.114681243896484,702696.153287227,970959.7614459016,1348739.8147397342
Moirai-2.0,1743,2020-06-30,252,12M,865500.0000000002,1019300.0000000008,13.834626675156503,13.581279754638672,13.779781341552734,14.061277389526367,791179.1880330902,964901.5376120808,1278601.409288533
Moirai-2.0,1995,2021-05-20,63,3M,1019300.0000000008,1084800.0000000007,13.896906196168269,13.61856460571289,13.830585479736328,14.0466890335083,821235.0180170094,1015189.1215344792,1260084.1135790586
Moirai-2.0,1995,2021-05-20,126,6M,1019300.0000000008,1171600.0000000007,13.973880893935716,13.607389450073242,13.831830978393556,14.10373306274414,812108.6779867706,1016454.3259638344,1334054.1045172624
Moirai-2.0,1995,2021-05-20,252,12M,1019300.0000000008,1287800.0000000007,14.06844589408622,13.669230461120604,13.823810577392578,14.043603897094728,863915.6892348027,1008334.5600861352,1256202.572816193
Moirai-2.0,2247,2022-04-06,63,3M,1287800.0000000007,1384300.0000000002,14.140705154675826,13.90420150756836,14.058436393737791,14.214916229248049,1092742.8915125888,1274974.0631468054,1490938.3268077958
Moirai-2.0,2247,2022-04-06,126,6M,1287800.0000000007,1322400.0000000007,14.094958825488952,13.876836776733398,14.058527946472168,14.20783233642578,1063245.708324988,1275090.7958520614,1480414.0001078036
Moirai-2.0,2247,2022-04-06,252,12M,1287800.0000000007,2512910.0000000005,14.736952002115997,13.90919017791748,14.052762031555176,14.14747428894043,1098207.8456682905,1267759.88582362,1393702.2993739103
Moirai-2.0,2499,2023-03-01,63,3M,2512910.0000000005,2464699.9999999995,14.717580654198455,14.574225425720217,14.824408531188965,15.103922843933104,2135530.017773948,2742576.955787223,3627023.305972954
Moirai-2.0,2499,2023-03-01,126,6M,2512910.0000000005,2319000.000000001,14.65664661623767,14.608827590942385,14.85684299468994,15.14846134185791,2210717.299942947,2832989.27960064,3792216.9067106815
Moirai-2.0,2499,2023-03-01,252,12M,2512910.0000000005,2752800.0000000014,14.828129133465408,14.688910484313965,14.845304489135742,15.036507606506348,2395039.986024707,2800488.6818125336,3390566.608384036
Moirai-2.0,2751,2024-01-23,63,3M,2752800.0000000014,3641000.0,15.10776892715757,14.710079193115234,14.856283187866213,15.006001472473145,2446280.322490982,2831403.7966938447,3288695.2793929265
Moirai-2.0,2751,2024-01-23,126,6M,2752800.0000000014,3356999.9999999995,15.026558275962172,14.704791069030762,14.86037254333496,15.002630233764648,2433378.2325928425,2843006.120137873,3277626.9700059504
Moirai-2.0,2751,2024-01-23,252,12M,2752800.0000000014,4853500.0,15.395210652134418,14.73357391357422,14.845293998718262,14.93483066558838,2504435.4894049424,2800459.3036712077,3062771.140496452
Moirai-2.0,3003,2024-12-14,63,3M,4853500.0,6511099.999999996,15.689018970724923,15.239737510681152,15.429162979125977,15.631706237792969,4154644.864099276,5021117.011295378,6148423.329902462
Moirai-2.0,3003,2024-12-14,126,6M,4853500.0,6536299.999999998,15.692881814101424,15.26303005218506,15.450128555297852,15.667634963989258,4252552.939416696,5127498.904608081,6373344.722935279
Moirai-2.0,3003,2024-12-14,252,12M,4853500.0,11008099.999999989,16.214141923416324,15.32913303375244,15.446832656860352,15.59047508239746,4543158.503541524,5110627.008281677,5900071.824214103
Moirai-2.0,3255,2025-11-11,63,3M,11008099.999999989,17244299.999999996,16.66299221205343,16.046430587768555,16.34513282775879,16.642547607421875,9308426.170618204,12548765.193670724,16895326.571533505
Moirai-2.0,3255,2025-11-11,126,6M,11008099.999999989,18075200.000000022,16.710051390954803,16.175090789794922,16.46742820739746,16.800737380981445,10586506.64109132,14181207.171089632,19790990.779540066
Moirai-2.0,3255,2025-11-11,252,12M,11008099.999999989,23878100.0,16.98847227883414,16.313884735107422,16.58479118347168,16.920249938964844,12162703.475839367,15947157.903854584,22303405.52652892
