model,origin_index,origin_date,horizon,label,current_price,actual_price,actual_log,q10_log,q50_log,q90_log,q10_price,q50_price,q90_price
XGBoost-Quantile,735,2016-06-29,63,3M,111791.6000000001,113126.00000000007,11.636257520742163,11.56514784112641,11.628088163920431,11.717920152247636,105361.00142092549,112205.59800518237,122751.85434803559
XGBoost-Quantile,735,2016-06-29,126,6M,111791.6000000001,113333.00000000009,11.63808566674344,11.54759628862211,11.642924753726213,11.728129489124505,103527.88633880425,113882.75733400375,124011.48845479217
XGBoost-Quantile,735,2016-06-29,252,12M,111791.6000000001,113782.0000000001,11.642039615931836,11.55767545640537,11.610730827563195,11.724306462109773,104576.63766725456,110274.81281827713,123538.29427768553
XGBoost-Quantile,987,2017-07-16,63,3M,113782.0000000001,123281.99999999997,11.72222969309407,11.59549417746338,11.657804411175576,11.728316705944863,108607.32976792468,115589.96357612446,124034.70766479401
XGBoost-Quantile,987,2017-07-16,126,6M,113782.0000000001,140203.99999999994,11.850853783846105,11.60753670734438,11.673000244694677,11.74801043820652,109923.14374466652,117359.86290926028,126501.62566913206
XGBoost-Quantile,987,2017-07-16,252,12M,113782.0000000001,237420.0000000002,12.377586003607526,11.582248136672106,11.702477216991511,11.825946349921551,107178.1987076782,120870.76754361807,136755.00919464594
XGBoost-Quantile,1239,2018-07-05,63,3M,237420.0000000002,452270.00000000006,13.022034625607525,12.308115016883626,12.38358036776112,12.63711303121449,221486.0788116991,238847.45600858645,307771.53930461605
XGBoost-Quantile,1239,2018-07-05,126,6M,237420.0000000002,303082.00000000023,12.621758674941315,12.317675456619277,12.419299420183911,12.656328734225049,223613.73759123485,247533.0581078327,313742.7727882736
XGBoost-Quantile,1239,2018-07-05,252,12M,237420.0000000002,429900.0,12.971307902484373,12.31469563043715,12.45313696212174,12.689656999176755,222948.3993098077,256052.29043665278,324375.47562312824
XGBoost-Quantile,1491,2019-07-07,63,3M,429900.0,405199.9999999998,12.912136051356665,12.910801700203852,13.045249878316358,13.216982199697927,404659.68148036906,462892.38595800044,549619.8847819965
XGBoost-Quantile,1491,2019-07-07,126,6M,429900.0,495899.9999999998,13.114129572477225,12.949861406236128,13.089390776007608,13.393503098636106,420778.31498023495,483782.5345786723,655729.1480762941
XGBoost-Quantile,1491,2019-07-07,252,12M,429900.0,865500.0000000002,13.671062653598401,12.930416080056862,13.208651109486059,13.883954732566313,412675.1827494996,545059.9728326895,1070840.8431661008
XGBoost-Quantile,1743,2020-06-30,63,3M,865500.0000000002,1215299.9999999998,14.010501517858891,13.587875192699048,13.747341012296292,13.999122058686826,796414.6073259591,934102.0871883945,1201548.9315169402
XGBoost-Quantile,1743,2020-06-30,126,6M,865500.0000000002,1144200.0000000005,13.950216260816566,13.63982037612519,13.779361759957883,14.127901976642224,838877.8426708743,964496.767609015,1366689.5361602681
XGBoost-Quantile,1743,2020-06-30,252,12M,865500.0000000002,1019300.0000000009,13.834626675156505,13.658573243481133,13.97326729231796,14.466680412826154,854757.638062677,1170881.3248573015,1917783.0450437919
XGBoost-Quantile,1995,2021-05-20,63,3M,1019300.0000000009,1084800.0000000007,13.896906196168269,13.76532724550143,13.869057395068557,14.10718578150645,951055.0682735019,1055006.404055384,1338668.1791210424
XGBoost-Quantile,1995,2021-05-20,126,6M,1019300.0000000009,1171600.0000000007,13.973880893935716,13.78143640285507,13.950675689188392,14.38705706646815,966499.8310795394,1144725.7987172198,1771003.8071284238
XGBoost-Quantile,1995,2021-05-20,252,12M,1019300.0000000009,1287800.0000000007,14.06844589408622,13.821065979582817,14.14676502397433,14.718162835148723,1005570.881588849,1392714.1456326318,2466135.3191553154
XGBoost-Quantile,2247,2022-04-06,63,3M,1287800.0000000007,1384300.0000000002,14.140705154675826,14.004714141750195,14.11310702111707,14.340411576592782,1208286.9150697042,1346618.268131498,1690291.532724531
XGBoost-Quantile,2247,2022-04-06,126,6M,1287800.0000000007,1322400.0000000007,14.094958825488952,14.02335913401232,14.16965054270015,14.510216894709924,1231026.7484996994,1424954.644418564,2003120.7446033321
XGBoost-Quantile,2247,2022-04-06,252,12M,1287800.0000000007,2512910.0000000005,14.736952002115997,14.035152158850291,14.225429224932054,14.975980851018289,1245630.2178108548,1506695.2360370979,3191433.8324016538
XGBoost-Quantile,2499,2023-03-01,63,3M,2512910.0000000005,2464699.9999999995,14.717580654198457,14.652960951395782,14.79184411741093,15.083814109631332,2310468.6746920827,2654705.058502164,3554816.8810205543
XGBoost-Quantile,2499,2023-03-01,126,6M,2512910.0000000005,2319000.000000001,14.65664661623767,14.702648109712156,14.85012670136288,15.384945864744934,2428169.185415158,2814025.8458825275,4803934.678356383
XGBoost-Quantile,2499,2023-03-01,252,12M,2512910.0000000005,2752800.0000000014,14.828129133465408,14.709923426576408,14.992029751606735,15.583613987036498,2445899.3035479193,3243066.0486395196,5859729.423579072
XGBoost-Quantile,2751,2024-01-23,63,3M,2752800.0000000014,3640999.9999999995,15.10776892715757,14.759637816133617,14.905487073841213,15.096335133793472,2570568.956273439,2974204.225164884,3599606.6508126333
XGBoost-Quantile,2751,2024-01-23,126,6M,2752800.0000000014,3356999.9999999995,15.026558275962172,14.789212396624206,14.939827537419914,15.339053055527328,2647727.801140713,3078113.7158524445,4588451.014748354
XGBoost-Quantile,2751,2024-01-23,252,12M,2752800.0000000014,4853500.0,15.395210652134418,14.804830042901157,15.102155884983658,15.75661530184996,2689403.66976747,3620620.1633936125,6966442.856223579
XGBoost-Quantile,3003,2024-12-14,63,3M,4853500.0,6511099.999999996,15.689018970724923,15.32973767676115,15.49241958417654,15.701924233219623,4545906.323209405,5348996.783450171,6595671.992756422
XGBoost-Quantile,3003,2024-12-14,126,6M,4853500.0,6536299.999999998,15.692881814101423,15.363887565664053,15.512629649124145,15.918126969120502,4703829.704657252,5458200.142382262,8187563.946220113
XGBoost-Quantile,3003,2024-12-14,252,12M,4853500.0,11008099.999999989,16.214141923416324,15.398957913729399,15.645942179939746,16.249691931984422,4871721.453104867,6236577.921761537,11406477.25169019
XGBoost-Quantile,3255,2025-11-11,63,3M,11008099.999999989,17244299.999999996,16.66299221205343,16.127496730018326,16.291964660812088,16.51316468738384,10094454.080081714,11898996.904770616,14844866.710369414
XGBoost-Quantile,3255,2025-11-11,126,6M,11008099.999999989,18075200.000000026,16.710051390954803,16.184078316617676,16.3676758589632,16.776485640037723,10682082.00320682,12834865.062193494,19316798.038909562
